id,tweet,label,length
train_yoruba_00001,ní ọdún tí ọ̀gágun olúṣẹgun ọbásanjọ́ ti ìtìmọlé dé ni a wọ ìjọba ara wa a ò ni èyí ò dá kódà dàdá ò dá tó,Normal,106
train_yoruba_00002,inú wa dùn láti kéde pé àwọn wọ̀nyí ni àkọ́yàn nínú wọn ni a ó ti yan àwọn márùnún tí yóò gbé gbá orókè nínú ìdíje àtẹ́lẹwọ́ fún ẹ̀bùn lítírésọ̀ yorùbá ti ọdún ẹ má bá wa ká lọ a gbóríyìn fún gbogbo àwọn olùkópa,Normal,211
train_yoruba_00003,"""yoruba translation: awon omo wa oni sori buruku o ##url",Normal,56
train_yoruba_00004,"""the 3 nigerian idiots ... awòn òmó alè jatí jatí ##url",Abuse,55
train_yoruba_00005,"""awon omo ale nattering nitwits jatijati ##url",Abuse,46
train_yoruba_00006,"""senate president @username with #boss of life hon. ladi adebutu @username during ojude oba   party in ijebu ode. gradually having passion for @username ##url",Normal,158
train_yoruba_00007,ọ̀bùn ni afínjú sì ni pẹ̀lú,Abuse,27
train_yoruba_00008,"""@username olodo ni o ooo🤣🤣🤣🤣🤣""",Abuse,31
train_yoruba_00009,mom b like shy wa jesi olonje iya n u mistakenly say beni then gbam she says too ba like iwe bi o shy like onje o ba ti gbe first wo awon egbe ee ti wo university child momi mo ti yoo,Abuse,183
train_yoruba_00010,"""@username the tolotolo that abused me yesterday. you can see your life outside. ode. atole jati jati.""",Abuse,103
train_yoruba_00011,bí a bá sọ wípé ènìyànán fi kàsádà lé àgbọn ohun tí ó túmọ̀ sí ni pé onítọ̀hún wọ ìyá kò bá bàbá tan aṣọ ìyẹn jásí pé aṣọ tí kò bára wọn mu ni onítọ̀hún kàn pọ̀ aṣọ tí kò bára mu ni ògúnwọlé wọ̀ lọ sájò,Normal,202
train_yoruba_00012,"""#koshidanu @username 🙅🏾‍♂️🧠👑🔥 @ kano state ##url",Normal,49
train_yoruba_00013,"""party time at odogbolu.  owambes are made in ijebu.  #partymoodboothing  #eberipoandegusi #camparitheitalianherbs #heavyfuji @ odogbolu ##url",Normal,142
train_yoruba_00014,ìtàn fi yé wa pé àláfíà àti ìbágbépọ̀ tó rọrùn wà láàrin gbogbo ará ìlú láìsí ẹlẹ́sìnmẹ̀sìn tàbí ẹlẹ́yàmẹ̀yà,Normal,108
train_yoruba_00015,"""oloriburuku ni bobo e sha... bobo e ti ya werey ooh 😀😀😀😀 ##url",Abuse,63
train_yoruba_00016,"""ẹranko tó ya wèrè bí ẹṣin ò wọ́pọ̀: ẹṣin fi ọmọ rẹ̀ sílẹ̀ ó ńgbé ọmọ ọlọ́mọ kiri. / not many animals are as stupid as the horse: it left its offspring unattended and carried those of others around. [help others, but don't neglect your own, either; prioritise well]""",Abuse,266
train_yoruba_00017,ahhhhhh oloseluuuuuu ki lo wa de ede wa so dokita jonathan di obo eri nkan bayi,Abuse,79
train_yoruba_00018,"""oloriburuku niye ma  i know you understand yoruba  oni iro oshi  these are the kind of people whose dead bodies should be thrown into the forests ##url",Abuse,152
train_yoruba_00019,awọn ọna meji apá nibo ni lati wa igbala nitori ọlọrun fẹ araiye tobẹ gẹ ti o fi ọmọkunrin kan bibi rẹ funni ki ẹnikẹni ti o ba gba a gbọ má ba ṣegbé ṣugbọn ni iye ainipẹkun,Normal,173
train_yoruba_00020,kì í burú burú kó má ku ẹnì kan kan mọ́ ní ẹni tí yóó kú la ò mò àṣé èèyan tún le rí olùrànlọwọ nínú irúu wàhálà yìí ọ̀nà àrà lọlọ́run mà fì í rànnìyàn lọ́wọ́ o ọládẹ̀jọ òkédìjíatótó arére kópa nínú ìdíje yìí,Normal,208
train_yoruba_00021,"""where are those nigerians that used to tweet ""earn  200k weekly staying at home""? pls sorry for ignoring you all this while. i think am interested now. àwọn alakọ̀ri.  😁 😁 @username """,Abuse,184
train_yoruba_00022,"""@username okan oni bale.. oloriburuku ashewo.""",Abuse,47
train_yoruba_00023,"""@username who is your father omo ale jaijati, oponu alainironu.""",Abuse,65
