id,tweet,label,length
train_igbo_00001,@username gbam! uche gi no ya. nwa nza rijuru afo wee nwu chi ya ogu ma na chi ya a gaghi e nwe obi gbuo ya! o ka o buru na o mere amansi!,Normal,138
train_igbo_00002,"posted a new song: ""onye agwu ft. shuley dee "" ##url #music",Normal,59
train_igbo_00003,"@username ezedioramma chief! ezigbo okwuakam, ezi oyi onowu @username , mannest man officer @username ... striking partner ajọ nwa @username .. ezigbo nwanne @username ....ife ama eme gị na ngada at all",Normal,202
train_igbo_00004,"@username ashawo, na so u get house for all the happening states... onye ọgwụ!",Abuse,78
train_igbo_00005,"lmaooo nwayi a ina e tom ochi""@username : bukola ga na'me ka onye ala..onye iberibe""",Abuse,84
train_igbo_00006,until you meet a bouncer! ntị anụ gị ife.. ##url,Normal,48
train_igbo_00007,@username onwere ishi aki.. obi akpọ..buru dọkịta oyibo maara ihe dị na mmekọ nwoke na nwaanyị 😏,Abuse,96
train_igbo_00008,@username *onye iberibe sha.  sorry monica lababala,Abuse,51
train_igbo_00009,"@username nkita ara tafukwa gi akpa amu, tanye gi rabies. @username hold your husband o",Abuse,87
train_igbo_00010,"@username onye nka obu mmadu?  ike gwuru, onweghi ihe anyi agaghi anu no onu ndi mmadu n'ekwu okwu ka anu ohia!",Abuse,111
train_igbo_00011,"i would have responded with ""nwokem inaruo bee ụnụ ikpo nne gị damsel. atụrụ ọcha"" he's not ready to be employed in a professional setting. simple! ##url",Abuse,153
train_igbo_00012,how is her current husband taking all this? nke a bu ezigbo ihere.  agadi nwanyi n'agwo ofe,Abuse,91
train_igbo_00013,umu nwaanyi please nau! ðŸ˜¥ ##url,Normal,34
train_igbo_00014,"@username ndi usa , ndewo nu oo 🙌🏽",Abuse,34
train_igbo_00015,lmao. why u no lock comment section. agadi na agwo ofe ##url,Abuse,60
train_igbo_00016,@username anụ nchị or mgbada.,Normal,29
train_igbo_00017,"ihe ugo ji ebe na osisi kpọrọ nkụ bụ, maka odi mma ya na osisi ahụ mgbe ọ dị ndụ.  south african shouldn't forget yesterday years when apartheid was finishing them, nigeria came for their rescue. #saynotoxenophobia @username",Normal,224
train_igbo_00018,@username its sky blue mkpi ##url,Abuse,33
train_igbo_00019,"ilu igbo: ugo sị na  ihe ya ji ebe na osisi kpọrọ nkụ bụ maka ọdị mma ya na osisi ahụ mgbe ọdi ndụ.  ""the eagle says it perches on a dry tree  due to its relationship with the tree when it was leafy""  [never leave an old friend when things become hard for him]@username",Normal,269
train_igbo_00020,"""go and get your pvc...""  kitikpa gbagbuokwa mpa gi there... usu raakwa nne gi ebe ahu",Abuse,86
train_igbo_00021,"@username mpa gi former governor, his excellency peter obi okwute ndi igbo,,, jealous soludo",Normal,92
train_igbo_00022,onye nzuzu n’enweghi isi! ##url,Abuse,31
train_igbo_00023,@username onye mgbu... i don't care o🤸,Abuse,38
train_igbo_00024,@username 🤣 onye aghụghọ,Abuse,24
train_igbo_00025,"nkita ara racha onu gi,  anuohia! ##url",Abuse,39
train_igbo_00026,@username i'm not even a fan of nollywood ffs!  and p.s: ọ nna gị bụ agwọ,Abuse,73
train_igbo_00027,ijuta isi nkita.... ##url,Normal,25
train_igbo_00028,ekwensu na kwa cha ##url,Abuse,24
train_igbo_00029,@username inaluo ịgwa akwụna nne gị na ọbụ ezi bida. agadi na agwọ ofe.,Abuse,71
train_igbo_00030,@username 😂 😂 😂 😂 😂 😂 😂 ọnụ ọjọọ,Abuse,32
train_igbo_00031,@username adamu kitikpa gbagbuo gi,Abuse,34
train_igbo_00032,"hahaha.... onye ime ezi""@username : i miss this okpa woman :(""",Abuse,62
train_igbo_00033,"oloshi ... onye oshi .... barawo rt @username : all i want 4 xmas is- an ipad, iphone 4, a nice car(2009model),a (cont) ##url",Abuse,125
train_igbo_00034,"@username onuku sì ẹ ba puo, onye ọnụ ọjọọ. 🤣",Abuse,45
train_igbo_00035,@username imara mma nwaanyi bekee 🥰,Normal,35
train_igbo_00036,@username you’re still here? onye agwu.,Abuse,39
train_igbo_00037,"@username choi!!!  otoo m iche🤣🤣🤣🤣🤣  @username come over here, bia furu umu nne gi",Normal,82
train_igbo_00038,"@username nnama, anu mpama, onye iberibe dika gi... anu nkita",Abuse,61
train_igbo_00039,"@username who's you, are you crazy?  how did she know the right time? ode ewu hausa, anumanu, onye ala. onye iberibe, ezi.",Abuse,122
train_igbo_00040,"@username 😂😂😂😂😂😂😂😂 ọ si na how do you guys reason  😂😂😂😂😂 ọkụkọ nyuo ahụ, ana achuwa ya oso!  😜😉😂😂😂 onye iberibe",Abuse,111
train_igbo_00041,@username that yakubu na onye oshi.. i don't trust him,Abuse,54
