class,text,language
1,"Guy you are wicked 🤣🤣
Even a  mad woman gets at least one toaster every week na",english
2,What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?,english
0,Lmaooo them get mind dey share these clown stories? 😂,english
0,: Ohun tó ṣẹlẹ̀ sí ọ̀rẹ́ ọ̀rẹ́ mi kan ní òpópónà Akure owo lónìí ni àwọn olùṣọ́ àgùntàn Fulani fi ìbọn pa wọ́n.,yoruba
1,Twitter m bụ nnọọ a bitch,igbo
2,"*Da yawa mafi girma da nono, mafi karami da kwakwalwa *..............buck wannan bitch da aka ƙalubalanci wannan",hausa
2,"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi  ko si iye owo to to fun u",yoruba
1,Mumu dey worry you,english
1,I just realised that you are a clown.🤡,english
2,"Ọ bụrụ na ị na-eme ihe ndị a , ị ga-ahụ na ị na-eme ihe ndị a na-eme n'oge na-adịghị anya .",igbo
0,: Otu ebo Naịjirịa nwere ọnụ ọgụgụ kasị elu nke Ndị Kraịst? Igbo !,igbo
2,will reduce by 90% the day DSS start parading arrested Herdsmen Murderers,english
0,"yeye oge!! Eyi gaju! Luv dat top of urs, u luk fabulous&amp;cute in it",english
0,": gay or straight 

rape is rape",english
2,When thousand of my people die on the north at the result of your people fulani herdsmen  you never say anything about now the big fish has been catch you want to use to score your political point idiot.  Both the PDP and the APC are the same bird of the same feather nosense.,english
0,"Ẹ jẹ́ kí n rán yín létí ìdìbò ọdún 2011, ẹ lọ wo ohun tí Buhari sọ nígbà tó ń bá àwùjọ àwọn Fulanis sọ̀rọ̀, nígbà tó sọ pé bí òun kò bá ṣẹ́gun, ó ti di àgbékalè, nígbà tí àgbékalè, ẹ̀jẹ̀ àgbékalè àti àwọn ajá yóò sì ṣàn, tí àwọn ẹ̀mí aláìmọ́ràn yóò sì ti di asán, ọkùnrin àti obìnrin,",yoruba
2,I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.,english
2,"Gaskiya ne, mutane Fulani marasa laifi, wawaye, wataƙila ubansa da mahaifiyarsa ne suka aikata waɗannan laifuffukan.",hausa
0,Ka bar tawagarmu ba mu son ka ..,hausa
2,"Ta kasance wata yarinya ba, don haka me kuke tsammani, mutane da suka sanya addini a kan duk abin da wasu ciki har da su rayu da su 'yan adam, btw wanda ya damu da ita Epp, ta yi baff?",hausa
